id,name,popularity,duration_ms,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1JY6B9ILvmRla2IKKRZvnH,Sad Machine,59,350690,Porter Robinson,3dz0NnIZhtKKeXZxLOxCam,2014-08-12,0.47,0.706,0,-4.902,0,0.0322,0.034,1.31e-06,0.0726,0.327,88.519,4
4SpLn2FTU4zKWHHaj9z4JF,Lionhearted - Arty Remix,39,317107,ARTY,1rSGNXhhYuWoq9BEz5DZGO,2014-07-15,0.513,0.82,3,-4.451,1,0.061,0.0146,0.148,0.107,0.236,128.066,4
2sNvitW3TxiTeC9xT9f2ZZ,Firestone,16,273684,Conrad Sewell,1rw8ZTLnDHd74TWDDukjVi,2015-06-24,0.486,0.652,11,-7.226,0,0.052,0.408,6.63e-05,0.077,0.391,113.055,4
1y4Kln6VEjQMpmHW7j9GeY,Cut Your Teeth - Kygo Remix,58,399013,Kygo,23fqKkggKUBHNkbKtXEls4,2014-03-14,0.674,0.678,10,-8.452,0,0.0406,0.59,0.222,0.051,0.465,99.985,4
2EBWE2zQkrrwHLlmkvL0XP,For You feat. Delora - Original Mix,0,258750,Delora,1nytqn1sQ6BC4VmcO76YkX,2015-04-06,0.7,0.978,3,-3.738,1,0.126,0.00654,0.0241,0.171,0.414,127.993,4
27NV2KxoQ8WuLMqlTDI61F,Often - Kygo Remix,66,234400,Kygo,23fqKkggKUBHNkbKtXEls4,2015-04-07,0.523,0.491,7,-9.876,0,0.0491,0.123,0.0,0.331,0.408,80.156,4
4PTPZeJlK1rYlYr6bf11hk,You're On (feat. Kyan),52,192720,Kyan,1fpemL1wk3ZyXVfpzlVEkL,2015-03-30,0.49,0.914,10,-3.202,1,0.167,0.0227,0.0,0.793,0.241,100.1,4
29OXcEI9sPjLKja6WhW5iC,Memories Will Fade - Radio Edit,11,208196,Mitch Thompson,2UWmZYFM6ZL8y2Dxe97YKp,2015-04-20,0.511,0.961,2,-3.818,0,0.0976,0.00329,0.00104,0.912,0.263,127.995,4
5aqgXNclb9SG9Rv7k4iaoT,Till It Hurts,0,188680,Ayden,4AD3pq7Rxp3tKxr0yGp0DS,2014-11-03,0.548,0.886,8,-4.016,1,0.0309,0.000624,0.000274,0.193,0.294,145.055,4
66Gei746xEwjgZdU2jXPQv,They Don't Know Us - Radio Edit,0,197268,Borgeous,4uiMn2g0pgTrhN096QJhbp,2015-03-20,0.571,0.847,0,-3.753,0,0.121,0.148,0.0,0.1,0.344,128.048,4
2f4aFQQtbJ5EciN4pCC63S,Insomnia,43,214230,Parson James,48sLioddyaXkuhyHXSkpsB,2015-03-03,0.622,0.838,3,-1.582,0,0.0909,0.142,0.0,0.123,0.534,127.985,4
7GMaXtoRR1AILqoS0vgwh7,Another You (feat. Mr. Probz) - Radio Edit,10,192307,Mr. Probz,33W1pnW9zScZtYTnAoWnOT,2015-05-08,0.59,0.647,6,-5.06,0,0.033,0.00809,4.52e-05,0.0921,0.393,127.979,4
4iZPNYqzI2L0uwuUKun7Aa,Stole the Show,16,222801,Parson James,48sLioddyaXkuhyHXSkpsB,2015-03-23,0.679,0.662,8,-6.069,0,0.174,0.155,0.0,0.152,0.438,99.879,4
7s1upm7yr7ZjrzXMwHawtG,Sexual Healing - Kygo Remix,63,368317,Kygo,23fqKkggKUBHNkbKtXEls4,2015-04-27,0.689,0.68,0,-7.196,0,0.0427,0.321,0.0211,0.0431,0.646,100.987,4
05dL7chWJaVjMJnGO1YCKk,Untouchable,47,228837,Cash Cash,1LOB7jTeEV14pHai6EXSzF,2015-05-18,0.542,0.795,7,-3.131,1,0.0379,0.0664,2.89e-06,0.313,0.251,128.959,4
0XUWZEDgeqL95Gm2IYWoPr,We're All We Need (feat. Zoë Johnston),0,262427,Zoë Johnston,3dWyWwLvZWsWtXZHhmAiFL,2015-01-20,0.565,0.484,3,-8.722,1,0.0424,0.744,0.000333,0.412,0.115,127.011,4
5xvagygk66wKzm6ecuUp14,Never Sleep Alone (feat. Tess Comrie),43,224133,Tess Comrie,43WrxZAJZj24jczyZvk2NL,2015-04-06,0.621,0.831,6,-3.793,0,0.038,0.185,0.000925,0.102,0.527,125.946,4
274MZgLPETnYJAV9Fk3sR9,Ready for Love (feat. Chloe Angelides),0,241906,Chloe Angelides,79A4RmgwxYGIDkqQDUHLXK,2014-03-18,0.581,0.905,3,-3.229,1,0.0328,0.0164,1.41e-06,0.129,0.612,126.017,4
1kVh5zMwaDnuyTedpaQbW7,Let Me Feel - Radio Edit,0,202542,When We Are Wild,5Mrj5E7pfTnz99Yyef5mW8,2015-02-09,0.503,0.704,9,-3.218,1,0.0339,0.25,0.0,0.0771,0.114,127.945,4
06Hdbxh6NCy6TIhjdXTchB,Headlights (feat. Ilsey),56,209208,Ilsey,2ZKzqJz3pPfWKVRgz9b39j,2015-04-03,0.597,0.685,11,-6.371,1,0.0367,0.0245,0.000335,0.182,0.369,122.002,4
00GfiT5AxTNSDQihPeMRkM,Waiting For Love,0,228750,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2015-05-22,0.575,0.75,6,-3.798,0,0.0438,0.299,0.0,0.268,0.609,128.091,4
5gWeCmuGGh89YpAuAhSASk,Ghosts - Radio Edit,0,165000,Melissa Ramsay,5S5QIbT7jBgzYSCu6bQdew,2015-05-12,0.427,0.85,11,-2.668,0,0.0359,0.00582,8.28e-06,0.272,0.183,128.115,4
22mek4IiqubGD9ctzxc69s,How Deep is Your Love (feat. Disciples),76,212640,Disciples,5EehXjjMktLuJmbRsM7YfB,2015-07-17,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,4
6fy2SxEFRlk1CIdlvKRP0m,Something Better,5,212619,Lady A,32WkQRZEVKSzVAAYqukAEA,2015-07-10,0.549,0.835,2,-2.632,1,0.0656,0.0692,0.0,0.212,0.423,126.08,4
0j0DNujXWeupLpZobbABoo,Nothing Left (feat. Will Heard),52,236683,Will Heard,39AZSw4A8hCFWunEg2k89Z,2015-07-31,0.679,0.576,4,-6.609,0,0.0402,0.261,0.000113,0.366,0.348,154.09,4
7msOAmoQzuwTSg2h3Ty6kP,Revolution (feat. Faustix & Imanos and Kai) - Absence Remix,0,238266,Absence,7cjfLvxmZUlVUqQESR5IWp,2015-05-19,0.792,0.661,8,-3.097,1,0.073,0.0481,0.000166,0.213,0.175,124.084,4
6xByDB0RCEFk56Hr2Mc13O,Revolution (feat. Faustix & Imanos and Kai) - Unlike Pluto Remix,0,198121,Unlike Pluto,4zjO8Jhi2pciJJzd8Q6rga,2015-05-19,0.613,0.669,8,-3.603,1,0.0841,0.0155,5.96e-05,0.74,0.142,149.191,4
1OMbBimNp16VKMIMgyBo1t,It's You - Radio Edit,0,211875,Syn Cole,6i1GVNJCyyssRwXmnaeEFH,2015-04-07,0.646,0.831,10,-4.164,1,0.0523,0.11,1.04e-05,0.134,0.486,127.957,4
3vv9phIu6Y1vX3jcqaGz5Z,Roses,72,226739,ROZES,6jsjhAEteAlY0vCiLvMLBA,2015-06-16,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,4
6vPJvkEuWZPcv58NnQ3dBR,Sweet Escape,51,232533,Sirena,3ua4MYAHmkOM1hL7o0FqIw,2015-05-26,0.572,0.839,2,-3.865,1,0.0397,0.0721,1.74e-06,0.197,0.516,126.029,4
2Y7iOaEe9IpSFcitWZAN8y,Alive Again,29,221250,Emma Hewitt,1t65YxEAtU3iii6bCzSGF8,2015-07-06,0.454,0.768,9,-5.716,0,0.0509,0.00488,1.54e-06,0.0943,0.0794,128.041,4
0U9ASXkDC800o7GkZEmDlp,Playing With Fire,21,218773,Delaney Jane,3fuxStOqQv8TiytHeuGiE8,2015-04-06,0.446,0.568,9,-6.439,0,0.0607,0.0866,0.0,0.406,0.0989,129.946,4
3uc6OtNu0aJEgF7lzIvPZI,Rising Love,21,220907,Mike Taylor,30ejUciK31BCg0IVCbt1dW,2015-05-23,0.467,0.891,6,-3.665,0,0.0578,0.000685,8.9e-06,0.359,0.261,126.019,4
21XpjBYEwH08XtLazsJ5wf,Disarm You (feat. Ilsey),35,221133,Ilsey,2ZKzqJz3pPfWKVRgz9b39j,2015-07-24,0.446,0.793,5,-3.912,0,0.0556,0.0434,4.14e-05,0.159,0.313,127.799,4
7vqUr6K2Js9Paq4kdNSOm6,Here for You (feat. Ella Henderson),60,244510,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,2015-09-04,0.68,0.772,10,-5.995,1,0.0416,0.535,0.0153,0.147,0.376,105.005,4
7gBj0VgcuAgkXkiRRYvSmK,Stay (feat. Maty Noyes),59,239465,Maty Noyes,5JSXWmQO8csVUy6hSRu8TA,2015-12-04,0.648,0.736,8,-7.948,1,0.0385,0.0444,0.000137,0.171,0.378,103.027,4
6WLS56xiRrXjSm9RSdL3zD,Never Forget You,0,213428,MNEK,7uMh23xWiuR7zsNkuNcm2G,2015-09-10,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,4
1lhWdmgKs69XbvCHQs9OXR,Pumpin Blood - The Chainsmokers Remix,38,243867,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,2015-07-24,0.639,0.915,4,-4.112,0,0.0327,0.0176,0.223,0.227,0.219,128.017,4
3KY1mFxjBqfRJoKjOgsTAq,Landmines,35,196875,J Hart,0CwAIKaq06Ep8gtTJ6zy0d,2015-09-25,0.48,0.853,8,-3.508,1,0.0753,0.0266,0.0,0.118,0.311,127.94,4
7iDe9QsNdmB2KHV65TkgQg,Signs (feat. Shantee),0,195997,Shantee,1qahRVFxheKBCCAmh8VOlK,2015-12-17,0.64,0.854,8,-5.591,1,0.0458,0.0175,0.000353,0.124,0.232,120.024,4
3TjEQONKIaiJFAiYtcw1Zm,Heart's Beating Faster (Radio Edit),0,183398,Ethan Thompson,2FPhOFbPxBiUTjdF9ZUYrZ,2015-12-11,0.568,0.706,6,-6.854,0,0.0425,0.00136,0.296,0.157,0.603,129.966,4
66hNO3vTrl4V1blkksruEM,We All Fall Down - Volt & State Remix,0,270213,Jamie Lidell,6ASGmWCYupa0CXGtsDdYSI,2015-11-06,0.641,0.777,8,-4.868,0,0.0627,0.257,0.00044,0.31,0.319,126.001,4
7HzCxalzzYQOFb9a7Xs3j6,I Took A Pill In Ibiza - Seeb Remix,0,198760,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,2015-12-18,0.678,0.783,7,-4.672,0,0.0828,0.0331,1.51e-05,0.134,0.679,102.0,4
0gb1J5UrTpzaU1s3nupgCd,No Money,66,189127,Galantis,4sTQVOfp9vEMCemLw50sbu,2016-04-01,0.671,0.916,6,-4.014,0,0.0397,0.0282,0.00762,0.24,0.803,126.01,4
2qJLp4SATqV1OP5IDN7SMl,Blackout,34,211690,Steph Jones,1Aed7wBQiH5LSDMmQWnGZw,2016-01-29,0.529,0.739,7,-2.62,0,0.0301,0.233,0.000815,0.112,0.183,141.889,4
59JreAiZzOF6pB8nIqEi20,Oasis (feat. Foxes),52,237920,Foxes,7qRll6DYV06u2VuRPAVqug,2016-05-13,0.606,0.67,8,-6.807,1,0.047,0.138,6.6e-06,0.354,0.212,119.96,4
6PyxrogMU9imKqVtKx6840,Fragile,59,230961,Labrinth,2feDdbD5araYcm6JhFHHw7,2016-05-13,0.47,0.422,5,-7.474,1,0.0522,0.177,0.000216,0.0879,0.218,149.505,4
3vRvuatWmKcHhxbv6choLR,Fiction (feat. Tom Odell),52,243947,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,2016-05-13,0.72,0.795,5,-5.523,1,0.0332,0.0247,0.00194,0.116,0.429,110.038,4
1KtD0xaLAikgIt5tPbteZQ,Thinking About You (feat. Ayah Marar),65,247933,Ayah Marar,4xQ2BGOBUXgjxO2PAhrIyS,2012-10-29,0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,127.985,4
4oEON2tBuUgDiCxGXkI0zZ,RIVA (Restart the Game) - Radio Edit,39,180853,Broken Back,4nx8ehrFiCOmWgebUKshDV,2015-03-02,0.617,0.739,2,-5.768,0,0.0601,0.115,2.99e-06,0.0849,0.536,123.894,4
5teGX9dkVCZOuao7dOWs7l,Teach Me - Radio Edit,42,189360,Bakermat,3MyFDtqB80WZvbtCZRsekM,2015-01-05,0.567,0.81,8,-6.436,1,0.0429,0.00195,0.000157,0.112,0.488,125.955,4
3FZEv9JddkjHNFiMVxJYpS,Carry Me (feat. Julia Michaels),58,233133,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,2016-05-13,0.621,0.551,7,-7.89,1,0.0474,0.486,0.0,0.115,0.222,105.052,4
0wRBoxnYkpjT7qYMzAvEwf,The Daze,0,164000,Madame Buttons,7KF7MdboLjh7O5BxomF54M,2016-03-18,0.717,0.854,2,-3.994,0,0.057,0.0133,0.0108,0.248,0.466,119.985,4
46NBoIAHrmR7qcUGCIFEjR,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),66,207273,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2016-05-13,0.367,0.915,9,-3.456,0,0.0488,0.0022,5.81e-05,0.0905,0.365,110.169,4
2zQpjL265aTmcT9rny6qot,Overtime,0,246447,Cash Cash,1LOB7jTeEV14pHai6EXSzF,2013-10-08,0.55,0.875,11,-0.755,0,0.3,0.0665,0.0,0.658,0.291,113.707,4
02E0dSRldGrrrJyTY7O4uA,Into The Sunset,15,207581,Mako,0Ye4nfYAA91T1X56gnlXAA,2016-04-22,0.435,0.726,10,-6.153,1,0.137,0.476,0.0,0.266,0.609,123.938,4
5AMPPdJP2s0zVJiq4FXR9W,"Sleep, For The Weak! - Lost Frequencies Remix",30,200331,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,2016-03-04,0.781,0.501,7,-8.616,1,0.0413,0.249,0.0799,0.0987,0.644,120.992,4
4aY5372weXNI9zRc1bQfqc,How to Love (feat. Sofia Reyes) - Hellberg Remix,0,202539,Hellberg,1kgxTtyF91VaqLD3J6Krd5,2016-05-27,0.578,0.8,9,-6.519,1,0.0572,0.0262,0.00989,0.11,0.457,127.931,4
333a2kkU8RSWRu0dJT0ngX,Turn (feat. Little Daylight),25,218813,Little Daylight,63aFY9yQyFDJtGkInMUris,2016-06-24,0.538,0.748,7,-2.543,0,0.037,0.0263,0.0,0.125,0.363,127.052,4
13HEIb4DeOsMN8x8SxhzN8,So Much Love,0,185669,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,2016-05-16,0.653,0.934,7,-2.878,1,0.295,0.000973,0.000512,0.144,0.561,127.029,4
4iZ3YEN89TU8Uwan4NwkB8,Heading Home,50,271147,Josef Salvat,64PJHZDQTPPVBCdwnv22Wz,2016-01-22,0.582,0.914,11,-4.097,1,0.0573,0.0119,0.000408,0.201,0.268,118.076,4
3T8j0WDSw7G98rNLAe2M2X,Golden Light (feat. 6AM),47,207291,6AM,3t6I4YrxnwewdkKxNb2FMF,2016-03-18,0.706,0.897,8,-2.539,0,0.0349,0.012,1.01e-06,0.343,0.626,125.002,4
5deDWZeDHWfYk9xaq9ynh4,Back 2 U (feat. WALK THE MOON),40,275977,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,2016-05-19,0.635,0.875,10,-6.221,1,0.0512,0.021,7.94e-06,0.139,0.545,126.034,4
67mL7R874Sp6moDFobc8y5,Live Before We Die (feat. KiFi),12,205116,KiFi,4C26PDH7q4oJazjcHlSekc,2016-03-18,0.587,0.719,11,-5.217,0,0.0342,0.252,4.71e-05,0.404,0.535,129.027,4
2toRTtkHZ70ZvKHQcemRv2,On My Mind - Radio Edit,0,186885,Don Diablo,1l2ekx5skC4gJH8djERwh1,2015-08-10,0.578,0.941,5,-2.452,0,0.0835,0.00547,0.812,0.412,0.274,125.986,4
0qqwzVWiVmIRynDh1nTGCG,Chemicals,0,222075,Thomas Troelsen,66dO8EHFd4ZfjxdQC4VdAS,2015-10-03,0.529,0.955,10,-2.59,0,0.0794,0.0344,4.55e-05,0.353,0.0893,125.988,4
6S5BiqsDSpwfnjbcQpmjhI,Everytime,0,157440,Toby Green,7IVgVM49Z4ztdmOqOIxhvP,2016-05-02,0.618,0.906,10,-3.022,0,0.0357,0.0502,0.106,0.304,0.544,124.991,4
0sxvPuybHVMwEvCSfbJDM6,I Can Be Somebody (feat. Erin McCarley),48,277500,Erin McCarley,6Y4bCmUNPDKqc7dHkVvgim,2015-08-14,0.634,0.482,0,-8.398,1,0.0331,0.0168,0.00115,0.147,0.238,127.928,4
5auepChUKwbHO1NWBwqGBN,One Last Night On Earth - Speaker Of The House Remix,46,219520,Dada Life,00sAT5YX8W3xNd1EuqyHw9,2015-01-01,0.638,0.832,0,-8.395,1,0.0354,0.00138,0.0524,0.213,0.126,125.973,4
5jJnlACnwFvyqNXmUZu8Nd,False Alarm,39,224272,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,2016-06-24,0.643,0.732,5,-6.762,0,0.0294,0.00681,4.57e-05,0.0606,0.181,102.979,4
1SNoSoQ3JZldOhzBY9gw0n,Dreams,43,192092,Campsite Dream,69VkQLf4DH7GJ68BCDOPKL,2015-10-16,0.642,0.913,5,-5.249,0,0.0517,0.0291,0.00054,0.355,0.474,120.035,4
3sFCrYlKCEnrTRfXEafPai,Heaven,41,177320,Alex Adair,1mrrvBvbrm28iYaPlJ9mG5,2015-08-07,0.55,0.925,0,-4.573,1,0.0882,0.0352,0.000179,0.29,0.358,121.823,4
40Dr5okORyoCbAgOBnYzio,Netzwerk (Falls Like Rain),39,230093,Klangkarussell,041iTeoMIwXMlShuQPIVKo,2014-07-28,0.551,0.714,7,-6.185,0,0.0384,0.00456,0.000128,0.139,0.231,128.021,4
2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),71,183414,shy martin,7eCmccnRwPmRnWPw61x6jM,2016-04-15,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.104,0.188,90.037,4
7MCgEv2ovQuxfijz2WZ4kH,Feels Like Home - Radio Edit,50,184918,Son Mieux,1BCBAzjX8J0qpvNTPRDCLc,2016-05-06,0.65,0.827,8,-3.792,1,0.0926,0.0265,5.88e-05,0.166,0.498,122.057,4
4A1IGpeMdt8sUdTPfNzYcd,Brightest Light (feat. Josh Wantie) - Radio Edit,28,205063,Josh Wantie,0pge2gEtqePVRTkYcK4hQb,2015-11-27,0.812,0.472,10,-9.03,0,0.0441,0.525,0.0886,0.102,0.596,121.956,4
2XMTqoHHSH0lvuXrvIEdco,Capsize,66,237707,Emily Warren,1oKdM70mJD8VvDOTKeS8t1,2016-09-02,0.683,0.708,5,-6.244,0,0.0305,0.0398,0.155,0.686,0.355,92.991,4
2rizacJSyD9S1IQUxUxnsK,All We Know,69,194080,Phoebe Ryan,4N874uPqBka1QiCvnCVOtr,2016-09-29,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0,4
21bVZKrvhUigqnMQXfnvpu,Beautiful Life (feat. Sandro Cavazza),31,161464,Sandro Cavazza,5JYo7gm2dkyLLlWHjxS7Dy,2016-06-03,0.732,0.52,2,-6.684,0,0.0376,0.127,0.0347,0.139,0.339,119.979,4
5WHuMGV9ziKEJHxEr0dMPo,These Heights,0,183070,Caroline Pennell,0cZPTEmf3mlwj5kjVXR4po,2017-06-16,0.419,0.738,0,-5.873,1,0.119,0.063,0.0,0.467,0.297,120.488,4
762UXiwEHYY97VL45sAUPR,2U,61,194907,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2017-06-09,0.551,0.651,8,-5.828,0,0.0594,0.225,0.0,0.224,0.562,144.875,4
4HQJhgbn938bu0WCMFRium,Strangers,26,215682,Tritonal,521qvhdobR0GzhvU6TFw76,2017-02-24,0.626,0.768,6,-4.575,0,0.052,0.201,0.000155,0.0831,0.272,100.027,4
3IFfjjPJRbIC9f7fY9CGZx,Summer Nights,0,190073,John Legend,5y2Xq6xcjJb2jVM54GHK3t,2016-06-17,0.689,0.791,5,-5.071,0,0.0343,0.229,0.000139,0.125,0.659,124.005,4
15ZCwcJnNTFMV2CDdCYfjR,Give It Away,29,204806,Paul Rey,5FjiYgLczmrP2j1gijAGWp,2016-01-22,0.651,0.622,0,-6.719,0,0.0749,0.304,0.0,0.112,0.434,123.001,4
1sfmIZRBmY5yq5wRQs987T,Somewhere New (feat. M-22) - Radio Edit,41,208138,M-22,4WFtYn5RyU8VGPpPyW9Pxw,2016-08-26,0.674,0.647,5,-6.105,1,0.0474,0.000395,0.00203,0.0696,0.287,124.048,4
2kYqdSlrtovVMMIn6ykzba,I Wanna Know,59,240413,Nico & Vinz,0awl5piYwO0CDTHEkCjUhn,2016-04-01,0.655,0.818,2,-3.626,1,0.033,0.0842,0.0,0.106,0.474,115.971,4
7JGqyqdzijtJeqVRhADFZd,Bring Back the Summer (feat. OLY),0,200204,Oly,46schiPKx3WhuYpa4XykpL,2016-03-04,0.654,0.752,11,-3.676,0,0.0316,0.0691,1.79e-06,0.077,0.453,97.998,4
5MISpOLjlHo6BO6sZD54hp,No Good,0,179048,Don Diablo,1l2ekx5skC4gJH8djERwh1,2018-07-06,0.841,0.854,1,-4.419,1,0.222,0.524,0.0162,0.109,0.542,126.169,4
0gcsPnxb6OOj5BPDByvYD2,All We Need feat. Shy Girls - Dzeko & Torres Remix,0,262500,Dzeko & Torres,5Ip2ecnyGpNyZvPuuYU8Ai,2015-03-16,0.594,0.903,9,-3.883,1,0.0631,0.00366,0.0709,0.504,0.669,127.976,4
5fnA9mkIfScSqHIpeDyvck,Prayer in C - Robin Schulz Radio Edit,72,189413,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,2014-05-16,0.763,0.875,9,-5.797,0,0.0262,0.024,5.41e-06,0.599,0.8,123.013,4
4XymYQMoYQM7tvquz1ep9h,Cool,0,221667,Roy English,1m42JiZ7Rv8D7Lc7FTSWAR,2015-02-17,0.532,0.847,6,-2.408,0,0.0312,0.0277,0.0,0.451,0.499,128.01,4
0gPy5NHU4tHiTXsUdBakYr,Wasted Love (feat. Dougy) - Extended Club Mix,0,401300,Dougy,2UB8vIQzaaBohXh1puFiUn,2014-12-08,0.622,0.975,10,-4.906,1,0.0894,0.0131,0.316,0.203,0.131,128.013,4
6eD8CSxdYXwDP9eVjo9Ml7,Body Dancing - Radio Edit,0,198469,Belle Humble,5Uh9Oco0Khv18UvTo2PucM,2015-02-26,0.571,0.876,1,-7.403,1,0.0462,0.00321,7.1e-06,0.104,0.319,128.005,4
66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),73,250286,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2015-02-24,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,4
6ZixfeFT8V0Nle1rMZAekY,Next to Me,56,202169,Otto Knows,5fahUm8t5c0GIdeTq0ZaG8,2015-05-08,0.596,0.752,11,-4.904,1,0.07,0.785,0.000419,0.105,0.306,127.06,4
7nZ0Hw1nKbNzf1SOCGL5Y3,If It Wasn't For You,0,233333,Alesso,4AVFqumd2ogHFlRbKIjp1t,2015-05-04,0.515,0.717,9,-4.66,0,0.0631,0.06,0.0,0.167,0.239,125.887,4
2O7KjT0yN6EOjRlCJ8v9qv,Are You With Me - Radio Edit,0,138843,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,2014-11-24,0.776,0.574,5,-9.882,0,0.0317,0.466,7.83e-05,0.131,0.412,121.03,4
2QMkuugbmPDTMDeZkLFXTJ,This Could Be Love - Radio Edit,0,190833,Delaney Jane,3fuxStOqQv8TiytHeuGiE8,2015-01-16,0.676,0.722,8,-6.432,0,0.037,0.023,0.0697,0.336,0.479,126.03,4
7xR4i98bWKhTyp45sFcvbi,Runaway - Radio Edit,0,193125,Pierce Fulton,5p0zkKpBuRguKebwRe0RI2,2014-05-27,0.608,0.87,7,-4.639,1,0.0511,0.0657,0.0,0.11,0.604,128.048,4
6Z9fRBqFuNfqiPDhbEd6O6,Breathin' - Radio Mix,0,173067,EDX,7GMot9WvBYqhhJz92vhBp6,2014-07-14,0.689,0.829,8,-6.324,1,0.0494,0.0453,0.000154,0.181,0.139,119.041,4
1BK2mZmlEmdPY1qjjwjUEP,Want You - Extended Mix,0,325205,EDX,7GMot9WvBYqhhJz92vhBp6,2015-04-13,0.769,0.917,7,-5.468,0,0.0458,0.000929,0.78,0.123,0.674,122.005,4
7bZQbORthYZpDnIddIDCcT,Wasted Time - Lost Kings Remix,31,285000,Lost Kings,3hyEbRtp617pNCuuQjyOmc,2015-05-19,0.543,0.875,9,-1.609,1,0.0603,0.193,0.000178,0.0873,0.124,127.941,4
57kR5SniQIbsbVoIjjOUDa,You Know You Like It,69,247267,AlunaGeorge,2VAnyOxzJuSAj7XIuEOT38,2014-10-14,0.407,0.725,5,-5.346,0,0.188,0.0141,2.46e-06,0.306,0.247,196.093,4
0CDCkBfsG39OvntlKQtJrs,King,8,213424,Years & Years,5vBSrE1xujD2FXYRarbAXc,2015-02-03,0.558,0.86,11,-4.132,0,0.0386,0.0599,0.0,0.433,0.427,119.981,4
